title,authors,year_read,date_read,genre,series,series_number,format,personal_rating,notes
The Grapes of Wrath,John Steinbeck,2018,2018-09-09,Literary Fiction,,,physical,,
Anna Karenina,Leo Tolstoy,2018,2018-09-25,Classic,,,physical,,
Norwegian Wood,Haruki Murakami,2018,2018-09-27,Literary Fiction,,,physical,,
The Lion the Witch and the Wardrobe,C.S. Lewis,2018,2018-09-27,Fantasy,The Chronicles of Narnia,1,physical,,
A Christmas Carol,Charles Dickens,2018,2018-09-28,Classic,,,physical,,
A Tale of Two Cities,Charles Dickens,2018,2018-10-03,Classic,,,physical,,
The Handmaid's Tale,Margaret Atwood,2018,2018-10-05,Science Fiction,,,physical,,
The Unbearable Lightness of Being,Milan Kundera,2018,2018-10-12,Literary Fiction,,,physical,,
Atlas Shrugged,Ayn Rand,2018,2018-10-27,Literary Fiction,,,physical,,
Nightfall,Isaac Asimov,2018,2018-10-30,Science Fiction,,,physical,,
Killing Commendatore,Haruki Murakami,2018,,Literary Fiction,,,physical,,
Foundation,Isaac Asimov,2018,2018-11-04,Science Fiction,Foundation,1,physical,,
Men Without Women,Haruki Murakami,2018,2018-11-06,Short Stories,,,physical,,
Steppenwolf,Hermann Hesse,2018,2018-12-07,Literary Fiction,,,physical,,
Demian,Hermann Hesse,2018,2018-12-08,Literary Fiction,,,physical,,
Faust,Johann Wolfgang von Goethe,2018,2018-12-12,Classic,,,physical,,
The Gambler,Fyodor Dostoevsky,2018,2018-12-13,Classic,,,physical,,
Narcissus and Goldmund,Hermann Hesse,2018,2018-12-16,Literary Fiction,,,physical,,
The Definitive Book of Body Language,Allan and Barbara Pease,2019,2019-01-04,Nonfiction,,,physical,,
The Subtle Art of Not Giving a Fuck,Mark Manson,2019,2019-01-07,Self-Help,,,physical,,
The Book on the Taboo Against Knowing Who You Are,Alan Watts,2019,2019-01-09,Philosophy,,,physical,,
Catch 22,Joseph Heller,2019,2019-01-14,Literary Fiction,,,physical,,re-read
Candide,Voltaire,2019,2019-01-15,Classic,,,physical,,re-read
The Unbearable Lightness of Being,Milan Kundera,2019,2019-01-18,Literary Fiction,,,physical,,re-read
Why We Sleep,Matthew Walker,2019,2019-01-26,Science/Nonfiction,,,physical,,
Norwegian Wood,Haruki Murakami,2019,2019-02-06,Literary Fiction,,,physical,,re-read
The Great Gatsby,F. Scott Fitzgerald,2019,2019-02-08,Literary Fiction,,,physical,,
Pet Sematary,Stephen King,2019,2019-02-14,Horror,,,physical,,
A Game of Thrones,George R.R. Martin,2019,2019-02-25,Fantasy,A Song of Ice and Fire,1,physical,,re-read
The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,2019,2019-03-12,Short Stories,,,physical,,
South of the Border West of the Sun,Haruki Murakami,2019,2019-03-31,Literary Fiction,,,physical,,
The Catcher in the Rye,J.D. Salinger,2019,2019-04-01,Literary Fiction,,,physical,,
The Selfish Gene,Richard Dawkins,2019,2019-04-18,Science/Nonfiction,,,physical,,
A Short History of Nearly Everything,Bill Bryson,2019,2019-04-26,Science/Nonfiction,,,physical,,
Sex at Dawn,Christopher Ryan,2019,2019-05-17,Nonfiction,,,physical,,
On Writing,Stephen King,2019,2019-05-21,Craft/Nonfiction,,,physical,,
The War of the Worlds,H.G. Wells,2019,2019-05-21,Science Fiction,,,physical,,
East of Eden,John Steinbeck,2019,2019-05-25,Literary Fiction,,,physical,,re-read
The Time Machine,H.G. Wells,2019,2019-05-26,Science Fiction,,,physical,,
Tortilla Flat,John Steinbeck,2019,2019-05-27,Literary Fiction,,,physical,,
The Shining,Stephen King,2019,2019-05-29,Horror,,,physical,,
The Name of the Wind,Patrick Rothfuss,2019,2019-06-03,Fantasy,Kingkiller Chronicle,1,physical,,
The Wise Man's Fear,Patrick Rothfuss,2019,2019-06-14,Fantasy,Kingkiller Chronicle,2,physical,,
The Compound Effect,Darren Hardy,2019,2019-06-17,Self-Help,,,physical,,
Hyperion,Dan Simmons,2019,2019-06-22,Science Fiction,Hyperion Cantos,1,physical,,
The Life-Changing Magic of Tidying Up,Marie Kondo,2019,2019-06-27,Self-Help,,,physical,,
How to Win Friends and Influence People,Dale Carnegie,2019,2019-07-07,Self-Help,,,physical,,re-read
The Hitchhiker's Guide to the Galaxy,Douglas Adams,2019,2019-07-25,Science Fiction,,,physical,,
The 7 Habits of Highly Effective People,Stephen R. Covey,2019,2019-07-27,Self-Help,,,physical,,
Never Split the Difference,Chris Voss,2019,2019-08-07,Nonfiction,,,physical,,
The Giver,Lois Lowry,2019,2019-08-11,Science Fiction,,,physical,,
Harry Potter and the Chamber of Secrets,J.K. Rowling,2019,2019-08-14,Fantasy,Harry Potter,2,physical,,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,2019,2019-08-16,Fantasy,Harry Potter,3,physical,,
Harry Potter and the Goblet of Fire,J.K. Rowling,2019,2019-08-19,Fantasy,Harry Potter,4,physical,,
The Compound Effect,Darren Hardy,2019,2019-08-28,Self-Help,,,physical,,re-read
The Fountainhead,Ayn Rand,2019,2019-08-29,Literary Fiction,,,physical,,
The Centaur,John Updike,2019,2019-09-02,Literary Fiction,,,physical,,
The War of Art,Steven Pressfield,2019,2019-09-03,Self-Help,,,physical,,
The War of Art,Steven Pressfield,2019,2019-09-08,Self-Help,,,physical,,re-read
The Elements of Style,William Strunk Jr. and E.B. White,2019,2019-09-08,Reference,,,physical,,
On Writing,Stephen King,2019,2019-09-13,Craft/Nonfiction,,,physical,,re-read
Colorless Tsukuru Tazaki,Haruki Murakami,2019,2019-09-13,Literary Fiction,,,physical,,
The Firm,John Grisham,2019,2019-09-14,Thriller,,,physical,,
Rich Dad Poor Dad,Robert T. Kiyosaki,2019,2019-09-21,Personal Finance,,,physical,,
The Stand,Stephen King,2019,2019-09-23,Horror,,,physical,,
The Hero with a Thousand Faces,Joseph Campbell,2019,2019-09-23,Nonfiction,,,physical,,listed as The Adventure of the Hero
Farewell My Lovely,Raymond Chandler,2019,2019-09-25,Mystery,,,physical,,
Walden,Henry David Thoreau,2019,2019-09-28,Classic,,,physical,,
Tao Te Ching,Laozi,2019,2019-09-28,Philosophy,,,physical,,
Stranger in a Strange Land,Robert A. Heinlein,2019,2019-09-30,Science Fiction,,,physical,,re-read
The Book of Wonder,Lord Dunsany,2019,2019-10-01,Fantasy,,,physical,,
The Gods of Pegana,Lord Dunsany,2019,2019-10-02,Fantasy,,,physical,,
The Lion the Witch and the Wardrobe,C.S. Lewis,2019,2019-10-02,Fantasy,The Chronicles of Narnia,1,physical,,re-read
Self Reliance,Ralph Waldo Emerson,2019,2019-10-02,Philosophy,,,physical,,
The Hobbit,J.R.R. Tolkien,2019,2019-10-10,Fantasy,,,physical,,re-read
The Red Book,Carl Jung,2019,2019-10-13,Psychology,,,physical,,
1Q84,Haruki Murakami,2019,2019-10-17,Literary Fiction,,,physical,,
The Meditations,Marcus Aurelius,2019,2019-10-19,Philosophy,,,physical,,re-read
Crazy Rich Asians,Kevin Kwan,2019,2019-10-22,Literary Fiction,,,physical,,
The Store,Unknown,2019,2019-12-24,Fiction,,,physical,,author unknown
The Sea of Monsters,Rick Riordan,2020,2020-02-24,Fantasy,Percy Jackson and the Olympians,2,physical,,
The Titan's Curse,Rick Riordan,2020,2020-02-25,Fantasy,Percy Jackson and the Olympians,3,physical,,
The Battle of the Labyrinth,Rick Riordan,2020,2020-02-25,Fantasy,Percy Jackson and the Olympians,4,physical,,
The Last Olympian,Rick Riordan,2020,2020-02-26,Fantasy,Percy Jackson and the Olympians,5,physical,,
The Lost Hero,Rick Riordan,2020,2020-03-02,Fantasy,The Heroes of Olympus,1,physical,,
She's First,Unknown,2020,2020-03-03,Nonfiction,,,physical,,author unknown
Sapiens,Yuval Noah Harari,2020,2020-03-06,Nonfiction,,,physical,,
Freakonomics,Steven D. Levitt and Stephen J. Dubner,2020,2020-03-08,Nonfiction,,,physical,,
David and Goliath,Malcolm Gladwell,2020,2020-03-09,Nonfiction,,,physical,,
Dataclysm,Christian Rudder,2020,,Nonfiction,,,physical,,
The God Delusion,Richard Dawkins,2020,2020-03-11,Nonfiction,,,physical,,
Outliers,Malcolm Gladwell,2020,2020-03-12,Nonfiction,,,physical,,
Demian,Hermann Hesse,2020,2020-03-14,Literary Fiction,,,physical,,re-read
Digital Minimalism,Cal Newport,2020,2020-03-15,Self-Help,,,physical,,
Cat's Cradle,Kurt Vonnegut,2020,2020-03-17,Science Fiction,,,physical,,re-read
Slaughterhouse Five,Kurt Vonnegut,2020,2020-03-19,Science Fiction,,,physical,,re-read
Siddhartha,Hermann Hesse,2020,2020-03-20,Literary Fiction,,,physical,,
King Lear,William Shakespeare,2020,2020-03-24,Classic,,,physical,,
A Demon Haunted World,Carl Sagan,2020,2020-03-25,Science/Nonfiction,,,physical,,
Ready Player One,Ernest Cline,2020,,Science Fiction,,,physical,,
Wonder,R.J. Palacio,2020,2020-05-18,YA Fiction,,,physical,,
Atomic Habits,James Clear,2020,2020-05-30,Self-Help,,,physical,,
Harry Potter and the Chamber of Secrets,J.K. Rowling,2020,2020-06-26,Fantasy,Harry Potter,2,physical,,re-read
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,2020,2020-07-01,Fantasy,Harry Potter,3,physical,,re-read
Harry Potter and the Goblet of Fire,J.K. Rowling,2020,,Fantasy,Harry Potter,4,physical,,re-read
Norwegian Wood,Haruki Murakami,2020,2020-07-11,Literary Fiction,,,physical,,re-read
Colorless Tsukuru Tazaki,Haruki Murakami,2020,,Literary Fiction,,,physical,,re-read
Sputnik Sweetheart,Haruki Murakami,2020,,Literary Fiction,,,physical,,
The Big Sleep,Raymond Chandler,2020,,Mystery,,,physical,,
A Wild Sheep Chase,Haruki Murakami,2020,,Literary Fiction,,,physical,,
Kafka on the Shore,Haruki Murakami,2020,,Literary Fiction,,,physical,,re-read
Harry Potter and the Order of the Phoenix,J.K. Rowling,2020,,Fantasy,Harry Potter,5,physical,,re-read
Blink,Malcolm Gladwell,2020,,Nonfiction,,,physical,,
The Art of Discarding,Nagisa Tatsumi,2020,,Self-Help,,,physical,,
Harry Potter and the Deathly Hallows,J.K. Rowling,2020,,Fantasy,Harry Potter,7,physical,,re-read
Kitchen,Banana Yoshimoto,2020,,Literary Fiction,,,physical,,
Memoirs of a Geisha,Arthur Golden,2020,,Historical Fiction,,,physical,,re-read
Pachinko,Min Jin Lee,2020,,Historical Fiction,,,physical,,
A Gentleman in Moscow,Amor Towles,2020,,Historical Fiction,,,physical,,
The Phantom Tollbooth,Norton Juster,2020,,Fantasy,,,physical,,
Crime and Punishment,Fyodor Dostoevsky,2020,,Classic,,,physical,,re-read
The Mysterious Affair at Styles,Agatha Christie,2020,,Mystery,Hercule Poirot,,physical,,
The Fellowship of the Ring,J.R.R. Tolkien,2020,,Fantasy,The Lord of the Rings,1,physical,,re-read
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2020,,Literary Fiction,,,physical,,
The Picture of Dorian Grey,Oscar Wilde,2020,,Classic,,,physical,,re-read
The Two Towers,J.R.R. Tolkien,2020,,Fantasy,The Lord of the Rings,2,physical,,re-read
A Brief History of Time,Stephen Hawking,2020,,Science/Nonfiction,,,physical,,
Siddhartha,Hermann Hesse,2020,,Literary Fiction,,,physical,,re-read
Me Talk Pretty One Day,David Sedaris,2020,,Memoir,,,physical,,
The Maltese Falcon,Dashiell Hammett,2020,,Mystery,,,physical,,
Key to Living the Law of Attraction,Jack Canfield,2020,,Self-Help,,,audiobook,,
The Undiscovered Self,Carl Jung,2020,,Psychology,,,physical,,
The Richest Man in Babylon,George S. Clason,2020,,Personal Finance,,,physical,,
The Power of Your Subconscious Mind,Joseph Murphy,2020,,Self-Help,,,physical,,
East of Eden,John Steinbeck,2020,,Literary Fiction,,,physical,,re-read
The Power of Intention,Wayne Dyer,2020,,Self-Help,,,physical,,
Kitchen Confidential,Anthony Bourdain,2020,,Memoir,,,physical,,
Dare to Win,Jack Canfield,2020,,Self-Help,,,physical,,
Think and Grow Rich,Napoleon Hill,2020,,Self-Help,,,physical,,
Think and Grow Rich,Napoleon Hill,2020,,Self-Help,,,physical,,re-read
The World According to Mr. Rogers,Fred Rogers,2020,,Nonfiction,,,physical,,
New Introductory Lectures on Psychoanalysis,Sigmund Freud,2020,,Psychology,,,physical,,
Think and Grow Rich,Napoleon Hill,2020,,Self-Help,,,physical,,re-read
Ask and It Is Given,Esther Hicks and Jerry Hicks,2020,,Self-Help,,,audiobook,,
Harry Potter and the Half-Blood Prince,J.K. Rowling,2020,,Fantasy,Harry Potter,6,audiobook,,re-read
The Law of Attraction,Esther Hicks and Jerry Hicks,2020,,Self-Help,,,physical,,
The Girl on the Train,Paula Hawkins,2020,,Thriller,,,physical,,
Tao Te Ching,Laozi,2020,,Philosophy,,,physical,,re-read
As a Man Thinketh,James Allen,2020,,Self-Help,,,physical,,
