title,authors,year_read,date_read,genre,series,series_number,format,personal_rating,notes
The Obesity Code,Jason Fung,2022,,Health/Nonfiction,,,physical,,
The Quiet American,Graham Greene,2022,,Literary Fiction,,,physical,,
Sword of Destiny,Andrzej Sapkowski,2022,,Fantasy,The Witcher,2,ebook,,
The Forever War,Joe Haldeman,2023,,Science Fiction,,,physical,,
Neuromancer,William Gibson,2023,,Science Fiction,,,physical,,
Learn Like a Pro,Barbara Oakley,2023,,Self-Help,,,physical,,
Never Let Me Go,Kazuo Ishiguro,2023,,Literary Fiction,,,physical,,
The Claiming of Sleeping Beauty,Anne Rice,2023,,Erotica,,,physical,,
Shadow and Bone,Leigh Bardugo,2023,,Fantasy,Grisha,1,physical,,
Novelist as a Vocation,Haruki Murakami,2023,,Nonfiction,,,physical,,
First Person Singular,Haruki Murakami,2023,,Short Stories,,,physical,,
Friday,Robert A. Heinlein,2023,2023-06-27,Science Fiction,,,physical,,
White Teeth,Zadie Smith,2023,2023-07-20,Literary Fiction,,,physical,,
In Cold Blood,Truman Capote,2023,2023-07-26,Nonfiction/True Crime,,,physical,,
Rhythm of War,Brandon Sanderson,2023,,Fantasy,Stormlight Archive,4,physical,,
The Graveyard Book,Neil Gaiman,2023,,Fantasy,,,physical,,
The Creative Act,Rick Rubin,2023,,Nonfiction,,,physical,,
Oathbringer,Brandon Sanderson,2023,,Fantasy,Stormlight Archive,3,physical,,
The Fasting Cure,Upton Sinclair,2023,,Health/Nonfiction,,,physical,,
Words of Radiance,Brandon Sanderson,2023,,Fantasy,Stormlight Archive,2,physical,,
The Way of Kings,Brandon Sanderson,2023,,Fantasy,Stormlight Archive,1,physical,,
The Blade Itself,Joe Abercrombie,2024,,Fantasy,The First Law,1,physical,,
Before They Are Hanged,Joe Abercrombie,2024,,Fantasy,The First Law,2,physical,,
The Last Argument of Kings,Joe Abercrombie,2024,,Fantasy,The First Law,3,physical,,
Do Androids Dream of Electric Sheep,Philip K. Dick,2024,,Science Fiction,,,physical,,
Cat's Cradle,Kurt Vonnegut,2024,,Science Fiction,,,physical,,re-read
Assassin's Apprentice,Robin Hobb,2024,,Fantasy,Farseer Trilogy,1,physical,,
A Game of Thrones,George R.R. Martin,2024,,Fantasy,A Song of Ice and Fire,1,physical,,re-read
A Clash of Kings,George R.R. Martin,2024,,Fantasy,A Song of Ice and Fire,2,physical,,re-read
A Little Life,Hanya Yanagihara,2024,,Literary Fiction,,,physical,,
Elantris,Brandon Sanderson,2024,,Fantasy,Elantris,1,physical,,
One Hundred Years of Solitude,Gabriel García Márquez,2024,,Literary Fiction,,,physical,,re-read
Tress of the Emerald Sea,Brandon Sanderson,2024,,Fantasy,Cosmere,,physical,,
Wind and Truth,Brandon Sanderson,2025,2025-04-05,Fantasy,Stormlight Archive,5,physical,,"took forever"
Algorithms,Jeff Erickson,2025,,Computer Science,,,physical,,textbook
The Sirens of Titan,Kurt Vonnegut,2025,2025-05-06,Science Fiction,,,physical,,re-read
Atomic Habits,James Clear,2025,,Self-Help,,,physical,,re-read
Norwegian Wood,Haruki Murakami,2025,2025-06-02,Literary Fiction,,,physical,,re-read
The Eye of the World,Robert Jordan,2025,,Fantasy,Wheel of Time,1,physical,,
The Great Hunt,Robert Jordan,2025,2025-07-03,Fantasy,Wheel of Time,2,physical,,
The Fourth Wing,Rebecca Yarros,2025,,Fantasy,Empyrean,1,physical,,
Iron Flame,Rebecca Yarros,2025,,Fantasy,Empyrean,2,physical,,
Onyx Storm,Rebecca Yarros,2025,2025-10-29,Fantasy,Empyrean,3,physical,,
The Dragon Reborn,Robert Jordan,2025,,Fantasy,Wheel of Time,3,physical,11/10,
The Shadow Rising,Robert Jordan,2025,,Fantasy,Wheel of Time,4,physical,,
